Sex,Gender,Age,Ethnicity,Age Group,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1,Male,89,1,9,56371,58055,60307,60126,61549,66007,67834,69236,72525,73953,73177,70238,78072,87255,93684,94216,98244,127701,118169,110607,108949,107059
1,Male,90,1,9,45753,47693,49192,51185,51113,52406,56288,57930,59207,62093,63394,62802,60355,67174,75178,80829,81403,85003,110642,102526,96101,94797
1,Male,91,1,9,37283,37937,39608,40918,42648,42661,43815,47136,48586,49728,52219,53381,52951,50954,56791,63652,68540,69133,72299,94252,87472,82116
1,Male,92,1,9,28538,30246,30819,32229,33350,34823,34897,35904,38690,39943,40944,43053,44073,43778,42185,47089,52861,57013,57600,60338,78790,73246
1,Male,93,1,9,22635,22605,23987,24478,25641,26581,27806,27916,28775,31063,32123,32979,34729,35604,35417,34178,38213,42971,46425,46989,49308,64506
1,Male,94,1,9,16510,17473,17467,18561,18970,19905,20672,21667,21795,22508,24343,25217,25934,27350,28081,27978,27042,30286,34119,36932,37451,39376
1,Male,95,1,9,11733,12399,13133,13144,13984,14316,15051,15660,16446,16574,17152,18585,19287,19868,20988,21584,21540,20855,23398,26411,28645,29108
1,Male,96,1,9,8532,8559,9051,9594,9615,10244,10504,11063,11535,12138,12258,12709,13798,14346,14804,15664,16137,16132,15647,17589,19895,21623
1,Male,97,1,9,5895,6028,6050,6401,6791,6816,7271,7468,7881,8233,8681,8785,9127,9929,10342,10693,11333,11696,11714,11382,12821,14535
1,Male,98,1,9,3963,4016,4108,4125,4367,4638,4661,4979,5124,5417,5670,5991,6077,6326,6896,7197,7454,7914,8184,8211,7996,9027
1,Male,99,1,9,2426,2595,2631,2691,2703,2864,3045,3064,3278,3380,3580,3756,3977,4041,4215,4605,4816,4998,5316,5508,5537,5404
1,Male,100,1,9,957,1522,1629,1651,1691,1699,1801,1916,1932,2070,2138,2268,2386,2531,2577,2694,2949,3091,3213,3424,3556,3581
1,Male,101,1,9,524,575,915,979,992,1016,1021,1084,1153,1164,1250,1293,1374,1450,1539,1572,1647,1806,1897,1977,2110,2195
1,Male,102,1,9,314,300,329,524,560,568,582,585,622,662,668,719,746,794,841,893,915,960,1053,1109,1159,1239
1,Male,103,1,9,189,171,164,178,285,305,309,317,317,339,361,366,393,409,436,462,492,506,531,584,616,646
1,Male,104,1,9,102,99,88,84,92,146,157,159,164,163,175,187,189,203,212,227,239,257,264,279,307,324
1,Male,105 - 109,1,9,94,86,84,77,72,73,100,120,129,136,136,144,153,156,170,175,186,196,212,221,234,254
1,Male,110 and over,1,9,7,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
1,Male,0,2,1,17946,21977,22741,23423,24164,24942,26070,27045,28091,29356,30147,32047,33329,34676,35935,37603,37862,38171,38523,38898,39266,39587
1,Male,1,2,1,26126,18066,22113,22878,23560,24300,25078,26212,27193,28245,29518,30313,32223,33513,34866,36131,37807,38067,38376,38728,39102,39471
1,Male,2,2,1,17786,26360,18222,22298,23064,23745,24485,25269,26412,27400,28461,29744,30546,32470,33769,35131,36404,38092,38351,38660,39012,39387
1,Male,3,2,1,26756,17924,26556,18358,22458,23224,23905,24650,25440,26591,27586,28654,29945,30753,32689,33996,35367,36648,38345,38604,38914,39265
1,Male,4,2,1,24192,26938,18040,26727,18477,22597,23363,24049,24800,25594,26752,27753,28828,30127,30939,32888,34202,35580,36867,38573,38833,39142
1,Male,5,2,1,21078,24338,27088,18140,26874,18577,22715,23485,24176,24931,25730,26894,27901,28981,30288,31104,33063,34384,35768,37061,38775,39035
1,Male,6,2,1,19444,21188,24454,27212,18222,26994,18660,22815,23590,24285,25044,25846,27016,28027,29113,30425,31245,33212,34539,35929,37227,38948
1,Male,7,2,1,17286,19533,21277,24554,27318,18292,27097,18734,22905,23684,24382,25144,25950,27124,28140,29230,30548,31371,33346,34677,36073,37375
1,Male,8,2,1,19347,17360,19611,21361,24648,27419,18359,27198,18807,22994,23776,24477,25242,26052,27230,28250,29344,30668,31494,33476,34813,36213
1,Male,9,2,1,18615,19431,17428,19687,21443,24739,27515,18425,27299,18879,23082,23867,24572,25341,26153,27337,28361,29459,30788,31617,33607,34949
1,Male,10,2,1,20292,18698,19509,17495,19762,21522,24827,27613,18492,27402,18953,23171,23960,24668,25440,26256,27444,28473,29575,30909,31742,33739
1,Male,11,2,1,17109,20385,18776,19586,17560,19835,21600,24918,27713,18561,27506,19028,23262,24055,24767,25542,26361,27554,28587,29694,31033,31869
1,Male,12,2,1,15355,17189,20474,18854,19663,17626,19908,21682,25012,27817,18632,27615,19106,23357,24154,24869,25648,26471,27669,28706,29818,31162
1,Male,13,2,1,20870,15430,17265,20562,18932,19740,17690,19983,21765,25108,27923,18706,27726,19185,23455,24255,24974,25756,26582,27786,28827,29944
1,Male,14,2,1,17732,20982,15506,17344,20654,19012,19819,17760,20064,21854,25212,28038,18784,27847,19271,23559,24364,25087,25873,26703,27912,28958
1,Male,15,2,1,11276,17846,21104,15591,17433,20757,19102,19911,17841,20157,21958,25332,28171,18876,27986,19371,23681,24490,25217,26009,26843,28058
1,Male,16,2,2,13059,11354,17961,21231,15679,17525,20863,19199,20009,17928,20258,22069,25461,28314,18973,28135,19478,23811,24625,25358,26154,26993
1,Male,17,2,2,10703,13169,11442,18094,21376,15779,17630,20988,19313,20125,18030,20376,22200,25613,28482,19089,28311,19604,23964,24785,25523,26325
1,Male,18,2,3,10720,10818,13302,11551,18255,21552,15902,17762,21146,19456,20271,18158,20525,22366,25804,28694,19234,28533,19763,24158,24986,25732
1,Male,19,2,3,7823,10882,10977,13487,11701,18480,21796,16078,17952,21374,19663,20482,18344,20740,22604,26080,28998,19444,28852,19992,24436,25276
1,Male,20,2,4,11625,7968,11080,11174,13715,11886,18754,22107,16301,18194,21663,19926,20749,18579,21013,22906,26430,29385,19710,29257,20282,24790
1,Male,21,2,4,10216,11823,8100,11261,11352,13921,12051,19010,22397,16510,18419,21932,20171,20999,18799,21267,23188,26756,29746,19958,29634,20553
1,Male,22,2,4,10637,10369,11990,8212,11414,11501,14091,12194,19232,22648,16691,18614,22166,20383,21215,18989,21487,23432,27039,30059,20173,29962
1,Male,23,2,4,8545,10779,10500,12135,8309,11544,11627,14243,12322,19430,22873,16852,18789,22375,20573,21408,19159,21685,23651,27292,30339,20365
1,Male,24,2,4,7241,8634,10881,10596,12239,8377,11634,11720,14355,12416,19576,23038,16971,18917,22529,20713,21551,19284,21830,23812,27479,30545
1,Male,25,2,5,5988,7298,8694,10952,10661,12307,8421,11697,11785,14433,12482,19679,23154,17054,19007,22636,20810,21650,19372,21932,23925,27609
1,Male,26,2,5,4385,6028,7342,8741,11007,10709,12358,8457,11748,11838,14497,12536,19762,23248,17123,19081,22725,20891,21732,19444,22015,24017
1,Male,27,2,5,6696,4408,6055,7373,8774,11043,10741,12395,8484,11786,11878,14545,12576,19824,23318,17173,19135,22790,20950,21792,19497,22076
1,Male,28,2,5,6222,6724,4424,6074,7394,8796,11066,10764,12423,8503,11814,11907,14580,12605,19870,23370,17210,19175,22837,20993,21836,19536
1,Male,29,2,5,8780,6247,6747,4438,6092,7413,8815,11090,10788,12451,8523,11843,11937,14616,12636,19917,23423,17248,19216,22887,21038,21882
1,Male,30,2,5,8901,8809,6264,6764,4448,6103,7425,8829,11109,10807,12473,8539,11866,11960,14644,12660,19954,23464,17278,19248,22925,21073
1,Male,31,2,5,4865,8924,8827,6274,6774,4453,6109,7432,8838,11120,10819,12486,8549,11880,11975,14662,12675,19977,23490,17297,19268,22949
1,Male,32,2,5,6003,4877,8942,8842,6283,6782,4458,6115,7440,8847,11132,10830,12500,8559,11895,11991,14681,12690,20001,23517,17316,19289
1,Male,33,2,5,5698,6012,4882,8949,8847,6285,6783,4458,6116,7442,8849,11134,10833,12504,8562,11899,11995,14687,12695,20009,23526,17322
1,Male,34,2,5,3869,5701,6014,4882,8948,8844,6282,6780,4456,6113,7438,8845,11130,10829,12499,8558,11895,11991,14682,12691,20002,23517
1,Male,35,2,6,8718,3871,5701,6012,4880,8943,8837,6278,6775,4453,6109,7434,8840,11123,10822,12492,8553,11888,11985,14674,12684,19991
1,Male,36,2,6,5396,8720,3870,5699,6009,4877,8935,8831,6273,6770,4450,6105,7428,8833,11115,10815,12483,8548,11880,11977,14665,12676
1,Male,37,2,6,6614,5395,8717,3867,5695,6004,4872,8927,8822,6267,6764,4446,6099,7422,8826,11105,10806,12473,8541,11871,11968,14653
1,Male,38,2,6,7256,6613,5393,8712,3865,5690,5999,4867,8919,8814,6261,6758,4442,6094,7416,8819,11096,10797,12463,8534,11862,11959
1,Male,39,2,6,6083,7255,6610,5390,8706,3862,5685,5993,4863,8911,8806,6256,6752,4438,6089,7409,8811,11087,10789,12453,8528,11853
1,Male,40,2,6,5428,6079,7249,6604,5384,8695,3857,5677,5986,4857,8899,8795,6248,6743,4433,6082,7401,8801,11074,10776,12439,8518
1,Male,41,2,6,5865,5424,6073,7241,6596,5377,8683,3851,5670,5977,4850,8887,8784,6239,6735,4427,6074,7391,8790,11061,10763,12424
